Order ID,Customer ID,Product ID,Date,Original Price,Discount%
OD0113,C013,P0092,19-04-2022,234.00,50.00%
OD0114,C014,P0093,01-08-2021,456.00,50.00%
OD0115,C015,P0094,21-03-2022,564.00,30.00%
OD0116,C016,P0094,15-11-2022,634.00,32.00%
OD0117,C017,P0094,27-01-2022,236.00,25.00%
OD0118,C018,P0095,12-02-2023,444.00,45.00%
OD0119,C019,P0096,20-01-2022,456.00,15.00%
OD0120,C020,P0097,15-12-2021,963.00,33.00%
OD0121,C021,P0098,09-01-2023,456.00,42.00%
OD0122,C022,P0099,30-04-2022,1189.00,42.00%
OD0123,C023,P0100,28-06-2021,1298.00,39.00%
OD0124,C024,P0101,15-07-2022,1456.00,39.00%
OD0125,C025,P0102,23-10-2022,1478.00,39.00%
OD0126,C026,P0103,16-11-2022,256.00,39.00%
OD0127,C027,P0104,25-11-2021,2698.00,30.00%
OD0128,C028,P0105,26-10-2022,2364.00,30.00%
OD0129,C029,P0106,07-07-2021,1236.00,30.00%
OD0130,C030,P0107,30-06-2022,756.00,25.00%
OD0131,C031,P0108,17-02-2023,326.00,25.00%
OD0132,C032,P0108,01-04-2021,453.00,30.00%
OD0133,C033,P0108,06-03-2023,326.00,30.00%
OD0134,C034,P0108,12-03-2022,456.00,30.00%
OD0135,C035,P0108,01-08-2022,675.00,40.00%
OD0136,C036,P0109,23-09-2021,654.00,40.00%
OD0137,C037,P0110,24-11-2022,654.00,40.00%
OD0138,C038,P0111,02-01-2022,654.00,40.00%
OD0139,C039,P0112,27-05-2022,654.00,40.00%
OD0140,C040,P0113,02-01-2023,356.00,40.00%
OD0141,C041,P0113,05-06-2021,686.00,45.00%
OD0142,C042,P0113,28-01-2022,456.00,45.00%
OD0143,C043,P0114,28-05-2022,516.00,45.00%
OD0144,C044,P0115,21-03-2023,355.00,47.00%
OD0145,C045,P0116,03-09-2022,465.00,47.00%
OD0146,C046,P0117,29-01-2021,965.00,46.00%
OD0147,C047,P0118,03-05-2021,1158.00,46.00%
OD0148,C048,P0119,22-08-2021,264.00,46.00%
OD0149,C049,P0120,14-07-2021,433.00,30.00%
OD0150,C050,P0121,28-05-2021,562.00,30.00%
OD0151,C051,P0122,15-04-2022,423.00,30.00%
OD0152,C052,P0123,24-09-2022,621.00,30.00%
OD0153,C053,P0124,11-03-2021,333.00,30.00%
OD0154,C054,P0125,29-04-2021,236.00,35.00%
OD0155,C055,P0126,19-05-2021,456.00,35.00%
OD0156,C056,P0127,06-05-2021,963.00,35.00%
OD0157,C057,P0128,01-12-2021,234.00,35.00%
OD0158,C058,P0129,18-11-2022,456.00,35.00%
OD0159,C059,P0130,29-05-2021,564.00,35.00%
OD0160,C060,P0131,03-06-2022,634.00,40.00%
OD0161,C061,P0132,09-04-2022,236.00,40.00%
OD0162,C062,P0133,20-10-2022,444.00,15.00%
OD0163,C063,P0134,18-09-2022,456.00,15.00%
OD0164,C064,P0135,02-04-2021,963.00,15.00%
OD0165,C065,P0136,17-02-2023,456.00,35.00%
OD0166,C066,P0137,09-01-2021,1189.00,35.00%
OD0167,C067,P0138,20-06-2022,1298.00,35.00%
OD0168,C068,P0138,05-03-2023,1456.00,35.00%
OD0169,C069,P0138,07-09-2021,1478.00,55.00%
OD0170,C070,P0139,21-09-2021,256.00,55.00%
OD0171,C071,P0140,03-07-2021,2698.00,55.00%
OD0172,C072,P0141,20-04-2021,2364.00,55.00%
OD0173,C073,P0142,02-11-2022,1236.00,50.00%
OD0174,C074,P0143,31-10-2021,756.00,50.00%
OD0175,C075,P0144,04-03-2023,326.00,50.00%
OD0176,C076,P0145,16-04-2021,453.00,50.00%
OD0177,C077,P0146,11-03-2022,326.00,50.00%
OD0178,C078,P0147,01-12-2022,456.00,30.00%
OD0179,C079,P0148,23-12-2022,456.00,32.00%
OD0180,C080,P0149,06-01-2023,456.00,25.00%
OD0181,C081,P0150,09-10-2021,456.00,45.00%
OD0182,C082,P0151,09-08-2021,236.00,15.00%
OD0183,C083,P0152,10-10-2022,996.00,33.00%
OD0184,C084,P0153,17-01-2023,654.00,42.00%
OD0185,C085,P0154,02-01-2023,456.00,42.00%
OD0186,C086,P0155,31-10-2022,785.00,39.00%
OD0187,C087,P0156,30-04-2021,365.00,39.00%
OD0188,C088,P0157,10-10-2021,965.00,39.00%
OD0189,C089,P0158,19-03-2022,444.00,39.00%
OD0190,C090,P0159,20-07-2021,569.00,30.00%
OD0191,C091,P0160,14-03-2023,475.00,30.00%
OD0192,C092,P0161,25-02-2022,598.00,30.00%
OD0193,C093,P0162,23-08-2021,536.00,25.00%
OD0194,C094,P0163,20-05-2021,256.00,25.00%
OD0195,C095,P0164,10-01-2021,456.00,30.00%
OD0196,C096,P0165,10-02-2022,456.00,30.00%
OD0197,C097,P0166,25-03-2022,745.00,30.00%
OD0198,C098,P0167,13-04-2022,356.00,40.00%
OD0199,C099,P0168,14-07-2022,1189.00,40.00%
OD0200,C100,P0168,19-09-2021,426.00,40.00%
OD0201,C001,P0168,05-03-2022,1126.00,40.00%
OD0202,C002,P0168,18-02-2023,1145.00,40.00%
OD0203,C003,P0169,17-04-2022,1235.00,40.00%
OD0204,C004,P0170,02-03-2023,1564.00,45.00%
OD0205,C005,P0171,01-01-2023,654.00,45.00%
OD0206,C006,P0172,25-03-2022,854.00,45.00%
OD0207,C007,P0173,24-07-2021,475.00,47.00%
OD0208,C008,P0174,27-01-2021,349.00,47.00%
OD0209,C009,P0175,31-08-2021,350.00,46.00%
OD0210,C010,P0176,16-01-2023,351.00,46.00%
OD0211,C011,P0177,24-07-2022,352.00,46.00%
OD0212,C012,P0178,05-04-2021,353.00,30.00%
OD0213,C013,P0179,21-01-2023,354.00,30.00%
OD0214,C014,P0180,02-02-2022,355.00,30.00%
OD0215,C015,P0181,17-02-2023,356.00,30.00%
OD0216,C016,P0182,15-02-2022,999.00,30.00%
OD0217,C017,P0183,08-07-2021,555.00,35.00%
OD0218,C018,P0184,18-09-2021,555.00,35.00%
OD0219,C019,P0185,09-01-2022,555.00,35.00%
OD0220,C020,P0186,29-10-2021,555.00,35.00%
OD0221,C021,P0187,01-02-2022,1025.00,35.00%
OD0222,C022,P0188,03-02-2021,1025.00,35.00%
OD0223,C023,P0188,21-01-2021,1025.00,40.00%
OD0224,C024,P0188,26-12-2021,555.00,40.00%
OD0225,C025,P0189,17-06-2021,599.00,15.00%
OD0226,C026,P0190,17-10-2022,555.00,15.00%
OD0227,C027,P0191,01-02-2022,555.00,15.00%
OD0228,C028,P0192,17-03-2023,2245.00,35.00%
OD0229,C029,P0193,12-02-2023,2256.00,35.00%
OD0230,C030,P0194,10-03-2022,2214.00,35.00%
OD0231,C031,P0195,20-10-2021,2145.00,35.00%
OD0232,C032,P0196,24-05-2022,2325.00,55.00%
OD0233,C033,P0197,31-07-2021,2256.00,55.00%
OD0234,C034,P0198,02-10-2022,1425.00,55.00%
OD0235,C035,P0199,10-04-2021,2236.00,55.00%
OD0236,C036,P0200,04-01-2023,2525.00,50.00%
OD0237,C037,P0201,26-11-2022,2145.00,50.00%
OD0238,C038,P0202,09-01-2021,2365.00,50.00%
OD0239,C039,P0203,18-03-2023,1245.00,50.00%
OD0240,C040,P0204,30-12-2022,3245.00,50.00%
OD0241,C041,P0205,10-11-2022,1222.00,30.00%
OD0242,C042,P0206,21-04-2022,2451.00,32.00%
OD0243,C043,P0207,24-07-2022,2256.00,25.00%
OD0244,C044,P0208,30-05-2022,399.00,45.00%
OD0245,C045,P0209,07-05-2022,399.00,15.00%
OD0246,C046,P0210,30-06-2022,399.00,33.00%
OD0247,C047,P0211,17-06-2021,399.00,42.00%
OD0248,C048,P0212,02-03-2022,555.00,42.00%
OD0249,C049,P0213,18-12-2022,555.00,39.00%
OD0250,C050,P0214,22-08-2021,555.00,39.00%
OD0251,C051,P0214,19-10-2021,555.00,39.00%
OD0252,C052,P0214,01-01-2022,675.00,39.00%
OD0253,C053,P0214,15-04-2021,675.00,30.00%
OD0254,C054,P0214,16-03-2021,675.00,30.00%
OD0255,C055,P0215,21-04-2021,654.00,30.00%
OD0256,C056,P0216,30-12-2021,654.00,25.00%
OD0257,C057,P0217,05-04-2021,654.00,25.00%
OD0258,C058,P0218,26-06-2021,654.00,30.00%
OD0259,C059,P0219,27-02-2023,356.00,30.00%
OD0260,C060,P0220,12-02-2021,686.00,30.00%
OD0261,C061,P0221,08-02-2021,456.00,40.00%
OD0262,C062,P0222,21-03-2023,516.00,40.00%
OD0263,C063,P0223,27-07-2021,355.00,40.00%
OD0264,C064,P0224,05-08-2021,465.00,40.00%
OD0265,C065,P0225,29-04-2022,965.00,40.00%
OD0266,C066,P0226,01-03-2021,1158.00,40.00%
OD0267,C067,P0227,13-02-2021,264.00,45.00%
OD0268,C068,P0228,03-03-2022,433.00,45.00%
OD0269,C069,P0229,01-12-2022,562.00,45.00%
OD0270,C070,P0230,03-09-2021,423.00,47.00%
OD0271,C071,P0231,23-06-2022,621.00,47.00%
OD0272,C072,P0232,23-03-2022,333.00,46.00%
OD0273,C073,P0233,23-12-2022,236.00,46.00%
OD0274,C074,P0234,28-06-2021,456.00,46.00%
OD0275,C075,P0235,04-08-2021,963.00,30.00%
OD0276,C076,P0236,24-12-2021,234.00,30.00%
OD0277,C077,P0237,27-07-2022,456.00,30.00%
OD0278,C078,P0238,12-01-2022,564.00,30.00%
OD0279,C079,P0239,27-11-2022,634.00,30.00%
OD0280,C080,P0240,27-05-2021,236.00,35.00%
OD0281,C081,P0241,16-03-2022,444.00,35.00%
OD0282,C082,P0242,04-08-2022,456.00,35.00%
OD0283,C083,P0243,26-03-2023,963.00,35.00%
OD0284,C084,P0244,09-01-2023,456.00,35.00%
OD0285,C085,P0245,03-06-2021,1189.00,35.00%
OD0286,C086,P0245,01-12-2022,1298.00,40.00%
OD0287,C087,P0245,28-11-2022,1456.00,40.00%
OD0288,C088,P0246,17-06-2022,1478.00,15.00%
OD0289,C089,P0247,08-03-2023,256.00,15.00%
OD0290,C090,P0248,05-01-2021,2698.00,15.00%
OD0291,C091,P0249,15-08-2021,2364.00,35.00%
OD0292,C092,P0250,13-10-2021,1236.00,35.00%
OD0293,C093,P0251,31-07-2021,756.00,35.00%
OD0294,C094,P0252,14-03-2022,326.00,35.00%
OD0295,C095,P0253,07-12-2022,453.00,55.00%
OD0296,C096,P0254,04-09-2022,326.00,55.00%
OD0297,C097,P0255,04-08-2021,456.00,55.00%
OD0298,C098,P0256,01-06-2021,675.00,55.00%
OD0299,C099,P0257,30-10-2021,654.00,50.00%
OD0300,C100,P0257,24-01-2023,654.00,50.00%
OD0301,C100,P0257,13-11-2022,654.00,50.00%
OD0302,C100,P0257,06-01-2023,654.00,50.00%
OD0303,C100,P0257,24-05-2021,356.00,50.00%
OD0304,C100,P0257,17-01-2021,686.00,30.00%
OD0305,C100,P0258,25-02-2021,456.00,32.00%
OD0306,C100,P0259,14-08-2021,516.00,25.00%
OD0307,C100,P0260,05-03-2021,355.00,45.00%
OD0308,C099,P0261,21-01-2022,465.00,15.00%
OD0309,C099,P0262,01-04-2022,965.00,33.00%
OD0310,C099,P0263,14-03-2021,1158.00,42.00%
OD0311,C099,P0264,23-02-2022,264.00,42.00%
OD0312,C099,P0265,13-09-2021,433.00,39.00%
OD0313,C099,P0266,22-04-2021,562.00,39.00%
OD0314,C099,P0267,24-01-2023,423.00,39.00%
OD0315,C099,P0268,04-02-2023,621.00,39.00%
OD0316,C001,P0269,27-02-2023,333.00,30.00%
OD0317,C002,P0270,25-05-2021,236.00,30.00%
OD0318,C003,P0271,05-08-2021,456.00,30.00%
OD0319,C004,P0272,07-08-2021,963.00,25.00%
OD0320,C005,P0273,15-10-2022,234.00,25.00%
OD0321,C006,P0274,28-02-2021,456.00,30.00%
OD0322,C007,P0274,21-05-2021,564.00,30.00%
OD0323,C008,P0274,14-05-2021,634.00,30.00%
OD0324,C009,P0274,07-04-2022,236.00,40.00%
OD0325,C010,P0274,25-01-2022,444.00,40.00%
OD0326,C011,P0275,17-07-2022,456.00,40.00%
OD0327,C012,P0276,02-12-2021,963.00,40.00%
OD0328,C013,P0277,05-03-2022,456.00,40.00%
OD0329,C014,P0278,07-09-2021,1189.00,40.00%
OD0330,C015,P0279,19-03-2023,1298.00,45.00%
OD0331,C016,P0280,01-10-2022,1456.00,45.00%
OD0332,C017,P0281,05-05-2021,1478.00,45.00%
OD0333,C018,P0282,13-06-2021,256.00,47.00%
OD0334,C019,P0283,13-07-2022,2698.00,47.00%
OD0335,C020,P0284,24-10-2021,2364.00,46.00%
OD0336,C021,P0285,12-01-2023,1236.00,46.00%
OD0337,C022,P0286,15-03-2023,756.00,46.00%
OD0338,C023,P0287,20-01-2022,326.00,30.00%
OD0339,C024,P0288,22-09-2022,453.00,30.00%
OD0340,C025,P0289,26-06-2021,326.00,30.00%
OD0341,C026,P0290,25-05-2021,456.00,30.00%
OD0342,C027,P0291,11-09-2021,675.00,30.00%
OD0343,C028,P0292,13-02-2022,654.00,35.00%
OD0344,C029,P0292,17-03-2023,654.00,35.00%
OD0345,C030,P0292,19-09-2022,654.00,35.00%
OD0346,C031,P0292,23-06-2021,654.00,35.00%
OD0347,C032,P0293,22-06-2022,356.00,35.00%
OD0348,C033,P0294,05-01-2023,686.00,35.00%
OD0349,C034,P0295,03-06-2022,456.00,40.00%
OD0350,C035,P0296,24-06-2021,516.00,40.00%
OD0351,C036,P0297,11-10-2022,355.00,15.00%
OD0352,C037,P0298,08-04-2022,465.00,15.00%
OD0353,C038,P0299,05-09-2021,965.00,15.00%
OD0354,C039,P0300,03-12-2022,1158.00,35.00%
OD0355,C040,P0301,06-12-2022,264.00,35.00%
OD0356,C041,P0302,26-12-2021,433.00,35.00%
OD0357,C042,P0303,19-09-2021,562.00,35.00%
OD0358,C043,P0304,29-11-2022,423.00,55.00%
OD0359,C044,P0305,07-03-2023,621.00,55.00%
OD0360,C045,P0306,14-12-2021,333.00,55.00%
OD0361,C046,P0307,07-03-2022,236.00,55.00%
OD0362,C047,P0308,13-01-2022,456.00,50.00%
OD0363,C048,P0309,13-04-2022,963.00,50.00%
OD0364,C049,P0310,05-10-2021,234.00,50.00%
OD0365,C050,P0311,15-04-2021,456.00,50.00%
OD0366,C051,P0312,21-01-2023,564.00,50.00%
OD0367,C052,P0313,10-02-2022,634.00,30.00%
OD0368,C053,P0314,12-06-2021,236.00,32.00%
OD0369,C054,P0315,11-12-2021,444.00,25.00%
OD0370,C055,P0316,02-05-2022,456.00,45.00%
OD0371,C056,P0317,02-11-2021,963.00,15.00%
OD0372,C057,P0318,13-06-2022,456.00,33.00%
OD0373,C058,P0319,15-06-2022,1189.00,42.00%
OD0374,C059,P0319,25-04-2021,1298.00,42.00%
OD0375,C060,P0319,13-01-2023,1456.00,39.00%
OD0376,C061,P0319,19-12-2022,1478.00,39.00%
OD0377,C062,P0319,21-11-2022,256.00,39.00%
OD0378,C063,P0319,19-03-2023,2698.00,39.00%
OD0379,C064,P0319,25-04-2021,2364.00,30.00%
OD0380,C065,P0320,15-08-2021,1236.00,30.00%
OD0381,C066,P0321,29-10-2021,756.00,30.00%
OD0382,C067,P0322,25-03-2021,326.00,25.00%
OD0383,C068,P0323,07-07-2021,453.00,25.00%
OD0384,C069,P0324,25-05-2022,326.00,30.00%
OD0385,C070,P0325,04-03-2021,456.00,30.00%
OD0386,C071,P0326,15-05-2022,456.00,30.00%
OD0387,C072,P0327,13-09-2022,456.00,40.00%
OD0388,C073,P0328,30-05-2022,456.00,40.00%
OD0389,C074,P0329,28-12-2022,236.00,40.00%
OD0390,C075,P0330,15-04-2021,996.00,40.00%
OD0391,C076,P0331,15-09-2022,654.00,40.00%
OD0392,C077,P0332,08-06-2022,456.00,40.00%
OD0393,C078,P0333,25-06-2022,785.00,45.00%
OD0394,C079,P0334,26-05-2021,365.00,45.00%
OD0395,C080,P0334,27-01-2022,965.00,45.00%
OD0396,C081,P0334,03-01-2023,444.00,47.00%
OD0397,C082,P0335,21-03-2022,569.00,47.00%
OD0398,C083,P0336,27-10-2021,475.00,46.00%
OD0399,C084,P0337,13-02-2023,598.00,46.00%
OD0400,C085,P0338,01-09-2022,536.00,46.00%
OD0401,C086,P0339,20-01-2023,256.00,30.00%
OD0402,C087,P0340,06-12-2021,456.00,30.00%
OD0403,C088,P0341,24-02-2023,456.00,30.00%
OD0404,C089,P0342,13-09-2021,745.00,30.00%
OD0405,C090,P0343,31-12-2021,356.00,30.00%
OD0406,C091,P0344,11-03-2021,1189.00,35.00%
OD0407,C092,P0345,09-06-2022,426.00,35.00%
OD0408,C093,P0346,21-11-2022,1126.00,35.00%
OD0409,C094,P0347,11-03-2023,1145.00,35.00%
OD0410,C095,P0348,07-03-2023,1235.00,35.00%
OD0411,C096,P0349,14-05-2022,1564.00,35.00%
OD0412,C097,P0350,09-07-2022,654.00,40.00%
OD0413,C098,P0351,29-01-2022,854.00,40.00%
OD0414,C099,P0352,04-02-2022,475.00,15.00%
OD0415,C100,P0353,02-02-2022,349.00,15.00%
OD0416,C001,P0354,04-07-2022,350.00,15.00%
OD0417,C002,P0355,25-09-2021,351.00,35.00%
OD0418,C003,P0356,25-10-2022,352.00,35.00%
OD0419,C004,P0357,09-01-2023,2245.00,35.00%
OD0420,C005,P0358,04-01-2022,2135.00,35.00%
OD0421,C006,P0359,11-05-2021,1245.00,55.00%
OD0422,C007,P0360,30-04-2021,2145.00,55.00%
OD0423,C008,P0361,24-03-2022,2356.00,55.00%
OD0424,C009,P0362,15-12-2022,2235.00,55.00%
OD0425,C010,P0363,02-04-2021,2252.00,50.00%
OD0426,C011,P0364,01-04-2022,2452.00,50.00%
OD0427,C012,P0365,17-02-2021,2263.00,50.00%
OD0428,C013,P0366,29-11-2021,2253.00,50.00%
OD0429,C014,P0367,19-01-2022,1025.00,50.00%
OD0430,C015,P0368,09-09-2022,1025.00,30.00%
OD0431,C016,P0369,16-08-2022,555.00,32.00%
OD0432,C017,P0370,23-03-2023,599.00,25.00%
OD0433,C018,P0371,24-11-2022,555.00,45.00%
OD0434,C019,P0372,14-03-2022,555.00,15.00%
OD0435,C020,P0373,06-12-2022,565.00,33.00%
OD0436,C021,P0374,16-09-2022,555.00,42.00%
OD0437,C022,P0375,25-03-2021,999.00,42.00%
OD0438,C023,P0376,10-05-2021,999.00,39.00%
OD0439,C024,P0377,29-05-2022,999.00,39.00%
OD0440,C025,P0378,30-08-2021,999.00,39.00%
OD0441,C026,P0379,16-03-2023,1119.00,39.00%
OD0442,C027,P0380,31-12-2022,1119.00,30.00%
OD0443,C028,P0381,22-08-2022,1119.00,30.00%
OD0444,C029,P0382,27-04-2022,1119.00,30.00%
OD0445,C030,P0383,28-01-2022,985.00,25.00%
OD0446,C031,P0384,19-01-2021,985.00,25.00%
OD0447,C032,P0385,09-02-2023,985.00,30.00%
OD0448,C033,P0386,06-04-2021,985.00,30.00%
OD0449,C034,P0387,14-06-2022,985.00,30.00%
OD0450,C035,P0388,12-11-2022,369.00,40.00%
OD0451,C036,P0388,19-07-2022,399.00,40.00%
OD0452,C037,P0388,22-05-2022,399.00,40.00%
OD0453,C038,P0388,19-11-2022,399.00,40.00%
OD0454,C039,P0388,21-12-2022,399.00,40.00%
OD0455,C040,P0388,19-01-2021,555.00,40.00%
OD0456,C041,P0388,12-02-2023,555.00,45.00%
OD0457,C042,P0388,21-07-2021,555.00,45.00%
OD0458,C043,P0389,07-03-2022,555.00,45.00%
OD0459,C044,P0390,27-02-2023,675.00,47.00%
OD0460,C045,P0391,21-11-2021,675.00,47.00%
OD0461,C046,P0392,06-02-2021,675.00,46.00%
OD0462,C047,P0393,26-04-2022,654.00,46.00%
OD0463,C048,P0394,01-07-2021,654.00,46.00%
OD0464,C049,P0395,11-07-2021,654.00,30.00%
OD0465,C050,P0396,01-03-2023,654.00,30.00%
OD0466,C051,P0397,18-02-2023,356.00,30.00%
OD0467,C052,P0398,27-09-2022,686.00,30.00%
OD0468,C053,P0399,27-03-2023,456.00,30.00%
OD0469,C054,P0400,10-11-2021,516.00,35.00%
OD0470,C055,P0401,08-05-2022,355.00,35.00%
OD0471,C056,P0402,13-09-2022,465.00,35.00%
OD0472,C057,P0403,22-02-2022,965.00,35.00%
OD0473,C058,P0404,13-01-2023,1158.00,35.00%
OD0474,C059,P0404,25-01-2022,264.00,35.00%
OD0475,C060,P0404,01-07-2021,433.00,40.00%
OD0476,C061,P0404,28-03-2022,562.00,40.00%
OD0477,C062,P0404,18-03-2021,423.00,15.00%
OD0478,C063,P0404,18-05-2022,621.00,15.00%
OD0479,C064,P0405,19-06-2021,333.00,15.00%
OD0480,C065,P0406,13-11-2022,236.00,35.00%
OD0481,C066,P0407,26-02-2021,456.00,35.00%
OD0482,C067,P0408,03-03-2021,963.00,35.00%
OD0483,C068,P0409,14-12-2022,234.00,35.00%
OD0484,C069,P0410,06-07-2021,456.00,55.00%
OD0485,C070,P0411,21-09-2022,564.00,55.00%
OD0486,C071,P0412,19-10-2022,634.00,55.00%
OD0487,C072,P0413,16-07-2021,236.00,55.00%
OD0488,C073,P0414,20-01-2022,444.00,50.00%
OD0489,C074,P0415,01-10-2021,456.00,50.00%
OD0490,C075,P0416,26-03-2023,963.00,50.00%
OD0491,C076,P0417,09-02-2022,456.00,50.00%
OD0492,C077,P0417,30-03-2021,1189.00,50.00%
OD0493,C078,P0417,28-07-2021,1298.00,30.00%
